NSC,CELL_NAME
106399,UACC_62
614495,SR
648772,SF_268
752,DU_145
800946,OVCAR_4
6396,HT29
799327,M14
641484,NCI_ADR_RES
756392,SNB_19
756204,HCT_15
642492,UO_31
180973,SF_539
756213,UACC_257
45383,MALME_3M
349438,RPMI_8226
132791,SF_295
800859,UACC_62
619130,RPMI_8226
756279,SF_295
349438,KM12
1026,OVCAR_4
651084,SK_MEL_5
9856,SK_MEL_5
647389,SK_MEL_28
801013,HL_60
756140,M14
756139,MDA_MB_231
5889,RXF_393
756302,OVCAR_8
8120,U251
800102,HL_60
76387,HT29
800938,HT29
758965,UACC_257
126771,ACHN
30706,CCRF_CEM
76411,MALME_3M
756309,MALME_3M
756212,HT29
800949,COLO205
756140,LOXIMVI
756179,MDA_MB_231
756168,UO_31
756162,A549
74859,SF_295
756285,PC_3
767334,HCC_2998
624589,MOLT_4
153858,COLO205
650467,MALME_3M
266748,SF_295
844,SNB_75
266748,MALME_3M
339004,SR
107124,SF_295
356885,ACHN
756292,SF_295
727632,COLO205
634724,MOLT_4
45410,OVCAR_4
613011,HL_60
756324,A549
756299,RXF_393
756251,CCRF_CEM
676180,COLO205
720515,LOXIMVI
112152,OVCAR_3
756372,CCRF_CEM
685357,UO_31
800859,MALME_3M
32743,SK_MEL_28
767276,A549
65104,MDA_MB_435
756208,IGROV1
767275,OVCAR_4
786035,RPMI_8226
800813,A498
799350,HL_60
266748,T47D
112152,OVCAR_4
648772,HT29
756331,HOP_92
648786,COLO205
752506,HOP_92
339004,UO_31
741899,U251
28130,UO_31
329680,SR
800102,T47D
756201,UACC_62
756412,IGROV1
800841,COLO205
803712,MALME_3M
799327,SNB_75
756298,MDA_MB_435
70929,MDA_MB_435
708934,A549
800810,SK_MEL_28
641065,A549
756278,NCI_H522
756408,M14
51355,MDA_MB_435
657274,KM12
800111,HCT_15
800077,MDA_MB_435
799346,EKVX
83950,M14
800102,SR
756334,HT29
756173,OVCAR_3
686673,U251
615484,SF_539
791792,HCT_15
708077,LOXIMVI
756384,NCI_H522
3970,OVCAR_8
200737,MOLT_4
249992,EKVX
800855,PC_3
83628,T47D
809693,LOXIMVI
329680,SF_295
800105,KM12
2654,RXF_393
180973,MOLT_4
756177,HT29
640199,HL_60
779374,PC_3
112152,OVCAR_8
756136,HT29
661583,SK_MEL_28
756177,RXF_393
719344,HOP_92
322921,SR
756358,MDA_MB_231
285166,CCRF_CEM
803712,OVCAR_8
800778,PC_3
53396,OVCAR_3
24818,SF_268
804962,LOXIMVI
521777,HT29
757831,A498
11779,HCC_2998
756477,HCC_2998
696860,HT29
726188,MOLT_4
756175,SF_539
615484,HT29
683864,T47D
726188,MDA_MB_435
303812,MDA_N
800111,KM12
9908,UO_31
153858,A549
767267,KM12
648786,HL_60
756238,SNB_75
126771,LOXIMVI
93819,CCRF_CEM
756288,EKVX
708934,ACHN
801013,PC_3
68075,SK_MEL_5
756338,MDA_MB_231
756459,HCC_2998
756287,ACHN
800089,SK_MEL_5
799325,OVCAR_3
758257,MOLT_4
757,SF_295
53396,IGROV1
663284,PC_3
131547,DU_145
799338,HCT_15
764334,OVCAR_8
353451,M14
695404,SNB_75
758615,SK_MEL_5
9908,SF_268
767292,NCI_H522
800806,SF_268
703147,COLO205
756232,UACC_257
800859,SF_268
241240,OVCAR_3
752506,NCI_H522
756431,SNB_75
800077,PC_3
690274,LOXIMVI
125066,SNB_19
758615,UACC_257
756358,A498
8101,SK_MEL_28
756356,SF_539
76411,MOLT_4
756309,MOLT_4
89201,A549
25953,OVCAR_8
756293,MALME_3M
266748,EKVX
349438,LOXIMVI
25154,SNB_19
799325,RXF_393
73754,UACC_257
756389,U251
344025,IGROV1
637037,RXF_393
756246,NCI_ADR_RES
167780,HT29
68075,RPMI_8226
641065,U251
93819,M14
320846,NCI_H522
642492,LOXIMVI
626715,UACC_257
38721,NCI_ADR_RES
756342,SNB_75
800998,UO_31
609699,HCT_15
756251,HT29
756151,LOXIMVI
756410,HL_60
182986,KM12
799328,OVCAR_4
756717,SK_MEL_5
403148,MDA_MB_435
613009,T47D
756238,NCI_H522
21206,HT29
799335,COLO205
800871,RXF_393
353451,COLO205
326233,NCI_H522
800111,SF_295
83950,SK_MEL_28
756265,SK_MEL_28
757831,SF_268
339004,CCRF_CEM
799356,M14
800864,COLO205
322921,OVCAR_4
756212,SR
614495,MDA_MB_435
708248,SF_539
756136,HOP_92
153858,OVCAR_4
683864,M14
112152,SK_MEL_5
767341,HOP_92
756276,RXF_393
756214,HCT_15
14975,A549
800081,PC_3
741899,OVCAR_3
800780,A549
96019,EKVX
26980,EKVX
756174,DU_145
756401,A498
665564,KM12
721,A549
767338,CCRF_CEM
122819,MDA_N
767336,UACC_62
800962,HT29
609395,T47D
630678,SNB_19
676181,M14
95466,OVCAR_4
74859,HL_60
407808,U251
339555,KM12
50256,PC_3
800980,ACHN
800075,SK_MEL_28
756192,KM12
19912,HCC_2998
756298,MALME_3M
640199,HOP_92
757,CCRF_CEM
756266,HOP_92
756374,UO_31
756479,ACHN
651084,OVCAR_4
339004,RXF_393
767275,CCRF_CEM
756272,COLO205
756421,SNB_19
727676,OVCAR_3
648789,MOLT_4
646244,HCC_2998
756292,MOLT_4
1906,CCRF_CEM
756336,OVCAR_8
339638,HCC_2998
756368,EKVX
719214,UACC_62
269757,HT29
26271,SF_268
696259,EKVX
14975,HOP_92
32946,SF_295
756293,MOLT_4
261726,A498
758194,NCI_ADR_RES
77213,PC_3
266748,HCC_2998
756232,COLO205
325663,EKVX
264880,CCRF_CEM
11779,MALME_3M
756698,SK_MEL_5
800782,COLO205
112152,EKVX
603071,MOLT_4
767267,LOXIMVI
26980,ACHN
330500,A498
182986,MDA_MB_231
717695,COLO205
756364,EKVX
11779,UACC_257
45383,MDA_MB_231
803712,LOXIMVI
648786,OVCAR_3
800992,MALME_3M
654284,ACHN
329680,MDA_MB_435
663284,A549
663284,MDA_MB_435
703744,OVCAR_8
38721,COLO205
614495,A549
344025,HCC_2998
615484,U251
756408,HOP_92
68075,CCRF_CEM
756431,IGROV1
756298,SF_539
640353,U251
45410,ACHN
96019,PC_3
3970,COLO205
708934,SK_MEL_28
1026,SK_MEL_5
767361,MDA_MB_435
645797,SNB_75
800940,MDA_MB_435
799328,HOP_92
3088,LOXIMVI
767348,MDA_MB_231
767337,M14
633555,M14
731155,CCRF_CEM
800778,OVCAR_4
2654,ACHN
756154,HCT_15
38270,COLO205
129943,SK_MEL_5
677423,DU_145
756327,A549
19492,COLO205
665564,OVCAR_4
76387,PC_3
767336,NCI_ADR_RES
756372,EKVX
613011,MDA_N
708929,SNB_19
756158,KM12
767242,KM12
756177,MDA_MB_435
703744,ACHN
800084,SNB_19
320846,HCC_2998
695406,DU_145
800086,UO_31
756183,NCI_ADR_RES
648789,UACC_62
33832,EKVX
651084,RPMI_8226
83950,HOP_92
326231,DU_145
609699,NCI_H522
799334,HL_60
695942,SNB_75
767365,SF_539
756293,EKVX
749675,ACHN
615484,EKVX
756143,HOP_92
800072,EKVX
756341,KM12
756337,T47D
756232,OVCAR_4
216128,A498
791571,HT29
106399,A549
630678,UO_31
24818,PC_3
375575,UACC_62
88468,SNB_75
33832,OVCAR_3
681239,A498
634724,SF_268
756402,MDA_MB_435
799349,MOLT_4
756180,RXF_393
800984,OVCAR_3
107124,EKVX
800864,OVCAR_8
800980,DU_145
45388,OVCAR_4
129943,NCI_ADR_RES
106399,M14
664172,LOXIMVI
49842,NCI_H522
320846,SF_295
676181,DU_145
800091,M14
800779,HOP_92
756399,M14
756201,MDA_MB_231
76387,U251
756341,UACC_62
251820,SK_MEL_5
756290,EKVX
23759,UACC_62
756356,MDA_MB_231
767276,MDA_MB_231
800870,MDA_MB_231
800872,UACC_257
375575,U251
756279,PC_3
294734,U251
326233,SK_MEL_5
767269,SR
633713,MALME_3M
269896,SK_MEL_28
756356,A549
756401,MDA_MB_231
261726,OVCAR_3
800849,PC_3
767334,CCRF_CEM
381837,UO_31
375575,OVCAR_3
756374,OVCAR_3
139105,RXF_393
269896,IGROV1
799350,UACC_257
809693,PC_3
144153,UACC_257
800841,A498
800075,LOXIMVI
24818,MALME_3M
800860,HCT_15
139105,MDA_MB_435
138780,MDA_MB_231
756266,SNB_19
349155,MOLT_4
38876,EKVX
756370,UACC_62
756295,HL_60
756180,SNB_75
791571,UO_31
630176,RPMI_8226
349438,MDA_N
802113,SF_295
19912,NCI_H522
24559,KM12
674621,SR
648786,UACC_257
325014,M14
661583,A498
142227,OVCAR_4
6814,HOP_92
338947,UACC_257
609699,U251
756266,MOLT_4
107124,SNB_19
200737,M14
800949,SF_539
758257,A549
800101,KM12
353451,LOXIMVI
756404,RPMI_8226
758257,SF_268
800992,T47D
800085,RPMI_8226
266748,SNB_19
756412,T47D
676181,UO_31
95580,M14
6396,CCRF_CEM
126771,SR
756179,RPMI_8226
719344,SNB_19
76387,DU_145
800864,UACC_62
648786,EKVX
758615,OVCAR_3
767276,IGROV1
803712,MOLT_4
800780,LOXIMVI
615484,OVCAR_4
676182,HCT_15
741899,HT29
132791,EKVX
687160,CCRF_CEM
749675,U251
674621,HL_60
663285,SF_268
676182,MDA_MB_231
756213,NCI_H522
756251,PC_3
3088,SF_539
756401,MOLT_4
269142,SNB_75
767399,HCC_2998
1906,DU_145
756278,HOP_92
756717,RXF_393
37364,COLO205
756156,NCI_ADR_RES
756392,RPMI_8226
756212,SF_539
756409,LOXIMVI
800885,HCT_15
800783,IGROV1
800994,M14
251222,A498
127755,SNB_19
79037,MALME_3M
756175,HOP_92
145668,SF_539
269896,SF_268
756163,SF_539
740565,SK_MEL_28
65104,SR
663299,M14
756208,A498
45388,HL_60
663322,SNB_75
269896,HCT_15
756151,T47D
719214,SF_295
695942,HCC_2998
344025,SF_268
94743,HL_60
620753,M14
25154,DU_145
799338,HT29
626923,RPMI_8226
712184,MALME_3M
756486,OVCAR_3
68075,MDA_MB_231
802113,T47D
756155,NCI_H522
732664,OVCAR_3
663322,SK_MEL_5
168597,PC_3
757831,MOLT_4
88468,SK_MEL_28
757831,SR
756143,MOLT_4
79037,A549
684906,HL_60
756213,HOP_92
767269,CCRF_CEM
95580,A498
643406,HCT_15
800933,SK_MEL_28
696259,HCC_2998
756343,OVCAR_8
800841,OVCAR_4
756296,MDA_MB_231
767344,IGROV1
800870,IGROV1
786035,M14
800933,DU_145
756174,OVCAR_4
19893,U251
614495,COLO205
756295,PC_3
756177,OVCAR_8
701996,SK_MEL_5
9364,SF_295
800883,UACC_257
145668,HCT_15
353451,RPMI_8226
350895,M14
166520,DU_145
609699,HOP_92
153858,M14
799325,SR
95466,MALME_3M
82151,KM12
800934,HCT_15
799356,T47D
667641,MALME_3M
758965,SNB_19
756192,SK_MEL_5
756288,HCT_15
126849,MOLT_4
95580,OVCAR_4
664173,UACC_257
663284,SF_539
349438,OVCAR_4
261726,KM12
93819,SK_MEL_5
756290,KM12
619130,MALME_3M
708929,HCC_2998
756486,T47D
756173,M14
4320,SF_268
809693,SF_268
712184,HL_60
606194,MDA_N
96019,DU_145
33669,SF_268
720515,MOLT_4
756299,HL_60
756372,SR
375574,MALME_3M
727631,SF_295
800855,LOXIMVI
325663,UO_31
142227,SNB_19
664172,HCT_15
282752,UACC_257
712184,SF_268
330500,SF_268
614495,SNB_19
719345,OVCAR_4
94743,OVCAR_3
756284,COLO205
756214,HL_60
37364,LOXIMVI
521777,OVCAR_3
756363,UACC_257
756373,A549
800847,OVCAR_8
349155,UO_31
168597,SNB_19
740565,KM12
756280,RXF_393
381838,A549
756368,RXF_393
756364,SK_MEL_28
79037,UACC_257
800885,MOLT_4
756136,M14
677423,PC_3
626923,U251
767399,LOXIMVI
613012,UO_31
114781,M14
727680,SF_268
799335,A498
165563,LOXIMVI
800810,SNB_19
719344,COLO205
800873,SK_MEL_28
624548,SK_MEL_28
1390,MDA_MB_231
708934,MDA_N
756208,HOP_92
756344,LOXIMVI
701996,UO_31
30706,HL_60
756296,SK_MEL_5
756384,U251
708248,SF_295
757831,KM12
681239,HCC_2998
308606,SNB_19
756372,SNB_19
45388,EKVX
767344,OVCAR_4
667641,UO_31
132319,CCRF_CEM
800944,SR
800864,CCRF_CEM
756195,MDA_MB_231
654663,UACC_257
25953,MDA_MB_231
756409,MDA_MB_231
51148,A549
77037,A498
74859,PC_3
756179,HT29
767344,SR
216128,T47D
800863,OVCAR_3
756311,SR
800864,OVCAR_3
693567,UO_31
153858,SR
339004,MALME_3M
767361,M14
330499,MDA_N
28130,HL_60
643407,ACHN
676182,UACC_62
648784,SR
756401,COLO205
799362,A498
326233,A498
45410,UACC_62
756208,MDA_MB_435
673591,EKVX
756386,SK_MEL_28
628134,IGROV1
344025,OVCAR_4
34462,OVCAR_3
800847,T47D
320846,MDA_MB_435
756212,MDA_MB_231
756313,OVCAR_4
800841,OVCAR_3
800773,HCC_2998
756314,SF_539
294734,SK_MEL_28
767267,HCT_15
799356,KM12
799334,SNB_19
624548,A549
731155,NCI_H522
756149,LOXIMVI
38721,MDA_MB_435
732664,HCT_15
1390,SF_268
800077,NCI_ADR_RES
633555,HT29
349438,MDA_MB_231
127755,DU_145
406472,ACHN
138780,SF_295
756278,A498
330500,U251
676181,OVCAR_4
51148,DU_145
801010,KM12
1895,EKVX
767338,COLO205
77037,SF_539
325014,HCC_2998
800076,EKVX
696259,OVCAR_8
11779,LOXIMVI
6396,UACC_62
657274,SNB_75
96019,OVCAR_3
800858,U251
132791,MALME_3M
703147,A549
82151,SK_MEL_28
756316,OVCAR_3
656667,SNB_75
381838,HOP_92
73754,NCI_H522
756317,CCRF_CEM
407808,SF_295
764334,NCI_ADR_RES
66357,CCRF_CEM
800873,SNB_75
663282,U251
800871,UO_31
180973,HL_60
27640,HCC_2998
701996,SK_MEL_28
756295,SF_539
756296,UO_31
33434,MDA_MB_231
613009,HCT_15
756176,A549
687160,NCI_H522
666595,UACC_257
756401,HL_60
756272,MOLT_4
209835,OVCAR_3
329680,T47D
687160,HCC_2998
695404,A549
801010,ACHN
800883,T47D
3894,SF_268
756389,CCRF_CEM
131547,MALME_3M
126849,SF_539
719328,RXF_393
800810,MOLT_4
320846,DU_145
800961,RPMI_8226
89201,SF_295
756170,HL_60
799327,RPMI_8226
626715,MDA_MB_435
756344,A498
756358,U251
756260,RPMI_8226
756278,SF_295
756386,DU_145
521777,U251
799327,A549
758965,MDA_MB_435
79037,KM12
645797,HL_60
800964,DU_145
375575,HT29
756338,SF_268
767242,DU_145
276382,MDA_MB_435
712184,UACC_62
38270,HL_60
264880,RPMI_8226
666096,SF_539
354646,ACHN
676180,KM12
756316,U251
756302,HCC_2998
294734,SF_539
339638,UACC_257
799362,CCRF_CEM
756284,SF_539
645777,OVCAR_4
800089,SR
93819,LOXIMVI
613012,A498
82151,HOP_92
264880,SF_268
348948,SF_295
664173,UO_31
767365,RXF_393
251820,HL_60
756179,CCRF_CEM
756266,CCRF_CEM
756409,A498
349438,SNB_75
800851,RXF_393
329680,NCI_ADR_RES
732664,SF_539
726188,SF_539
756202,SNB_75
674621,SK_MEL_5
756158,HCT_15
673591,KM12
756246,IGROV1
9908,SF_295
756331,OVCAR_3
756170,DU_145
83950,IGROV1
603071,OVCAR_8
634724,SF_539
2654,CCRF_CEM
800883,U251
767337,HCC_2998
756303,KM12
800109,HT29
756296,RPMI_8226
756311,HCT_15
756386,SF_539
732664,RPMI_8226
83950,RXF_393
712184,U251
800075,OVCAR_8
800964,PC_3
8101,IGROV1
741899,HCC_2998
800778,A498
756404,DU_145
630678,HCC_2998
756213,OVCAR_4
700089,MOLT_4
800086,SNB_19
756404,EKVX
630678,HT29
800864,SR
88468,NCI_ADR_RES
38270,U251
717695,MOLT_4
756717,SNB_75
756278,UO_31
756368,HCT_15
756200,HT29
663285,LOXIMVI
756143,SK_MEL_28
76387,CCRF_CEM
703147,MOLT_4
756409,A549
38876,SF_295
600032,HCC_2998
800984,KM12
756154,U251
756180,OVCAR_4
93419,HCC_2998
767399,SF_295
142227,SF_539
804962,COLO205
53396,SK_MEL_28
209835,SNB_75
756313,UO_31
3894,HOP_92
637037,SF_295
756392,NCI_H522
19893,UACC_62
800072,UACC_62
800985,HT29
66357,HT29
696860,HCT_15
664167,RPMI_8226
141537,HCC_2998
756156,OVCAR_3
800076,A498
800783,SNB_19
800863,RXF_393
756343,OVCAR_3
626715,OVCAR_3
325663,MDA_N
799338,T47D
685357,LOXIMVI
634724,MDA_MB_231
406472,NCI_ADR_RES
783840,HOP_92
38721,SF_295
141537,A549
122819,RXF_393
96019,T47D
165563,SK_MEL_28
719344,T47D
756232,NCI_ADR_RES
756392,SF_295
686673,T47D
356885,NCI_ADR_RES
1906,SF_268
643407,EKVX
756149,HCT_15
19912,CCRF_CEM
696259,ACHN
756246,MDA_MB_231
269142,KM12
758667,SR
756303,T47D
800782,SF_268
122023,OVCAR_8
647389,MDA_N
800964,CCRF_CEM
684363,COLO205
663322,NCI_ADR_RES
647389,HCT_15
28130,RXF_393
11779,SF_295
37364,NCI_ADR_RES
756143,SK_MEL_5
756339,HOP_92
662382,UACC_257
703147,T47D
628134,ACHN
348948,NCI_ADR_RES
641065,IGROV1
695942,SF_539
786035,SNB_75
708248,SK_MEL_5
800780,MDA_MB_231
79037,RXF_393
603071,COLO205
800858,SF_268
756200,SNB_75
756303,UACC_62
799334,SK_MEL_28
175151,SF_268
756288,MDA_MB_231
756155,KM12
204985,SF_539
758667,HT29
216128,SNB_19
25953,A549
77213,A498
756319,SF_295
144153,IGROV1
1390,OVCAR_8
122819,UACC_257
6814,OVCAR_3
733608,SNB_75
779374,M14
685357,UACC_257
800948,HT29
756384,MDA_MB_231
656160,SNB_75
756179,A549
144153,HCT_15
180973,CCRF_CEM
756364,DU_145
701996,KM12
21729,KM12
800994,SF_539
756296,OVCAR_8
89201,EKVX
756384,OVCAR_3
756477,A549
165563,DU_145
25154,OVCAR_4
626923,MDA_MB_435
767292,HL_60
68075,UO_31
800779,HCC_2998
667640,UACC_62
61805,NCI_ADR_RES
756265,KM12
756280,OVCAR_3
766811,NCI_H522
756145,OVCAR_3
767276,NCI_H522
767269,RPMI_8226
800084,SNB_75
756374,SF_295
662382,SK_MEL_5
756212,UACC_257
684362,NCI_H522
676182,HOP_92
664172,MOLT_4
375575,RXF_393
174121,COLO205
767365,SNB_19
756156,HL_60
138780,HL_60
800076,NCI_ADR_RES
733608,OVCAR_4
756460,UACC_257
24818,NCI_H522
756338,SK_MEL_28
800841,A549
800983,A549
727368,U251
684906,LOXIMVI
339638,UACC_62
727632,HT29
756140,KM12
756421,RPMI_8226
697726,U251
803712,NCI_ADR_RES
613012,HOP_92
756421,KM12
628503,MDA_MB_435
803712,IGROV1
799349,NCI_H522
45383,UACC_62
756386,OVCAR_8
348948,KM12
756391,PC_3
756402,MALME_3M
634724,EKVX
756698,NCI_ADR_RES
756421,OVCAR_4
800810,OVCAR_3
76387,IGROV1
687160,U251
756143,M14
180973,U251
664167,HCC_2998
767334,SF_268
651084,HOP_92
756266,SNB_75
800979,LOXIMVI
703744,HCC_2998
800870,KM12
732517,SK_MEL_5
264880,HCT_15
800882,MDA_MB_231
325014,SR
756296,PC_3
741899,EKVX
800864,PC_3
800998,SF_539
800949,MDA_MB_231
756408,SK_MEL_28
756373,HL_60
800080,EKVX
756173,U251
693567,SK_MEL_5
756238,MDA_MB_435
27640,A498
49842,HCC_2998
756139,SF_295
800944,SF_539
325663,MDA_MB_231
684362,SNB_75
756410,NCI_H522
22842,OVCAR_4
79389,MOLT_4
132791,RPMI_8226
767361,RXF_393
623310,HCT_15
756298,HOP_92
88468,RXF_393
628134,KM12
614495,NCI_ADR_RES
756411,SF_539
800983,RPMI_8226
756336,UACC_257
756140,NCI_H522
800810,SF_295
756339,SF_295
756151,SNB_75
163027,OVCAR_8
756412,MDA_MB_435
756421,OVCAR_3
758257,SK_MEL_28
756327,EKVX
799338,U251
49842,HL_60
799342,SNB_19
756162,MOLT_4
756158,RPMI_8226
767344,M14
767276,CCRF_CEM
65104,CCRF_CEM
673591,A549
25154,UO_31
329680,SF_539
719214,ACHN
33832,IGROV1
800111,U251
45388,MOLT_4
756290,SF_268
800070,HL_60
799327,OVCAR_3
407286,SF_295
375575,COLO205
174121,HT29
96019,U251
756309,SNB_19
767399,SNB_75
145668,A549
348948,SF_268
83950,ACHN
24818,ACHN
786035,OVCAR_8
756200,SK_MEL_28
79037,SR
756388,UO_31
325663,A498
756298,OVCAR_3
786035,MOLT_4
756189,NCI_ADR_RES
756387,SK_MEL_28
326233,SNB_75
3088,OVCAR_4
756298,RXF_393
8120,HCT_15
727680,EKVX
107124,HCT_15
756477,SF_268
756342,HOP_92
326233,OVCAR_4
800934,DU_145
800070,A498
767267,DU_145
657274,EKVX
756175,LOXIMVI
9948,M14
5889,UACC_257
676181,RXF_393
326233,SNB_19
767337,SNB_75
756355,DU_145
800983,HCT_15
77213,SF_539
6814,KM12
687160,COLO205
21206,PC_3
676182,A549
756295,IGROV1
756167,U251
756411,DU_145
756373,RXF_393
664167,HL_60
800810,A498
756373,SF_539
68075,HCC_2998
800872,MALME_3M
756316,CCRF_CEM
799327,MALME_3M
96019,KM12
758965,SK_MEL_5
800992,LOXIMVI
800855,MOLT_4
695788,SK_MEL_28
756155,U251
756338,M14
375575,HOP_92
654663,MDA_MB_231
68075,MOLT_4
800883,SF_268
756406,MDA_MB_435
800778,IGROV1
142227,KM12
717696,HT29
95580,KM12
758194,OVCAR_8
756151,SR
799350,UACC_62
93419,SF_295
719214,HCT_15
800109,HCT_15
756258,NCI_H522
2654,SK_MEL_28
800813,U251
800873,A498
613012,OVCAR_4
613729,OVCAR_8
628134,UO_31
664172,SK_MEL_5
9856,A549
676181,A498
95466,HCT_15
800081,COLO205
756319,LOXIMVI
756337,SK_MEL_5
88468,MOLT_4
756317,OVCAR_3
690274,RXF_393
664168,OVCAR_8
32946,M14
756384,IGROV1
350895,A498
756164,CCRF_CEM
600285,RXF_393
662382,KM12
800885,A549
126849,T47D
648784,HT29
721,ACHN
800863,SK_MEL_5
70929,UACC_62
697726,OVCAR_4
603071,ACHN
673591,MDA_MB_231
800994,ACHN
750690,NCI_H522
717696,RPMI_8226
74859,MDA_MB_435
800984,ACHN
803712,U251
756336,UO_31
756204,NCI_ADR_RES
740565,RXF_393
24818,A498
641065,SNB_19
663282,SF_539
9908,MDA_MB_435
756183,LOXIMVI
800949,SF_295
96019,A549
79389,OVCAR_8
215139,SF_295
375574,NCI_H522
800883,SF_295
756386,CCRF_CEM
145668,RXF_393
758615,SNB_19
800870,ACHN
809693,CCRF_CEM
674621,PC_3
95580,SK_MEL_5
756163,DU_145
756192,A498
633713,NCI_ADR_RES
767333,NCI_ADR_RES
676180,SNB_75
767361,SNB_75
719214,U251
756327,HOP_92
737370,RXF_393
756355,T47D
767269,HL_60
697726,COLO205
756180,MDA_MB_435
756302,ACHN
708934,HT29
756327,RPMI_8226
767333,UACC_62
83628,HCT_15
94743,HT29
719345,DU_145
756175,MOLT_4
61805,COLO205
800105,HCC_2998
756171,NCI_H522
406472,PC_3
703147,LOXIMVI
329680,UO_31
756168,CCRF_CEM
756408,HCT_15
756152,UACC_62
640199,HCC_2998
112152,SK_MEL_28
800983,T47D
756276,OVCAR_8
756285,T47D
801013,COLO205
756338,EKVX
756293,IGROV1
139105,HT29
731155,A549
756258,MDA_MB_435
800961,SR
800855,HCC_2998
642492,HCT_15
758965,CCRF_CEM
27640,SK_MEL_5
620753,UACC_257
727676,SK_MEL_28
800810,HCT_15
163027,A549
708077,MOLT_4
756162,NCI_H522
22842,SNB_75
756266,RPMI_8226
756166,T47D
1895,LOXIMVI
756174,HCC_2998
94743,CCRF_CEM
38876,CCRF_CEM
708248,MDA_MB_435
125066,SF_539
756313,LOXIMVI
756156,T47D
756336,HCC_2998
756389,A498
756331,SK_MEL_28
752506,UO_31
756479,MALME_3M
800070,A549
756251,LOXIMVI
626168,COLO205
276382,COLO205
297900,UO_31
32743,LOXIMVI
73754,EKVX
758615,SF_295
521777,COLO205
95580,T47D
800810,KM12
800959,OVCAR_4
620753,NCI_H522
779374,OVCAR_3
630678,RXF_393
767276,UO_31
38721,RPMI_8226
756171,HOP_92
756164,ACHN
3088,NCI_ADR_RES
758965,HCC_2998
756342,SF_268
756392,UACC_257
756316,SF_539
261726,HCC_2998
129943,LOXIMVI
641484,T47D
756204,UACC_62
251222,COLO205
624548,U251
749675,MDA_MB_435
168597,NCI_H522
752,OVCAR_8
800885,COLO205
251820,UACC_62
647389,EKVX
3894,MDA_MB_435
34462,M14
767348,SR
656667,MOLT_4
756293,OVCAR_8
800961,RXF_393
756317,OVCAR_4
1026,A498
32743,T47D
666096,M14
800985,SR
34462,HCC_2998
126771,SNB_19
756370,MDA_MB_231
325663,SF_295
756319,ACHN
757831,UO_31
758667,M14
600285,SNB_75
26980,MDA_MB_435
756388,SF_268
296961,SK_MEL_5
603071,MDA_N
